Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,stimulus,button pressed
1,1562174383365,03/07/2019 17:19:43,1562174383430,-7,03/07/2019 10:19:43,8449,8,task-jgum,,2760229,56c2f65cc51218000c9786ff,765991,,complete,,5d1ce349b9b03c001798d4c6,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,9109.155000012834,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562174385696,03/07/2019 17:19:45,1562174385807,-7,03/07/2019 10:19:45,8449,8,task-jgum,,2760229,56c2f65cc51218000c9786ff,765991,,complete,,5d1ce349b9b03c001798d4c6,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2366.15499999607,/task/29849/3/asset/Dog.mp3,1
3,1562174388071,03/07/2019 17:19:48,1562174388214,-7,03/07/2019 10:19:48,8449,8,task-jgum,,2760229,56c2f65cc51218000c9786ff,765991,,complete,,5d1ce349b9b03c001798d4c6,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2403.7000000098487,/task/29849/3/asset/Owl.mp3,0
4,1562174389868,03/07/2019 17:19:49,1562174390002,-7,03/07/2019 10:19:50,8449,8,task-jgum,,2760229,56c2f65cc51218000c9786ff,765991,,complete,,5d1ce349b9b03c001798d4c6,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1785.9600000083447,/task/29849/3/asset/Goat.mp3,0
1,1562174399508,03/07/2019 17:19:59,1562174399398,1,03/07/2019 18:19:59,8449,8,task-jgum,,2760234,5cb45ad50225590001acdb70,765992,,complete,,5d1ce31032934b00181589de,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,6439.205000002403,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562174403494,03/07/2019 17:20:03,1562174403413,1,03/07/2019 18:20:03,8449,8,task-jgum,,2760234,5cb45ad50225590001acdb70,765992,,complete,,5d1ce31032934b00181589de,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4002.8999999922235,/task/29849/3/asset/Dog.mp3,1
3,1562174405665,03/07/2019 17:20:05,1562174405593,1,03/07/2019 18:20:05,8449,8,task-jgum,,2760234,5cb45ad50225590001acdb70,765992,,complete,,5d1ce31032934b00181589de,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2173.0399999942165,/task/29849/3/asset/Owl.mp3,0
4,1562174409571,03/07/2019 17:20:09,1562174409360,1,03/07/2019 18:20:09,8449,8,task-jgum,,2760234,5cb45ad50225590001acdb70,765992,,complete,,5d1ce31032934b00181589de,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3764.019999973243,/task/29849/3/asset/Goat.mp3,0
1,1562174438095,03/07/2019 17:20:38,1562174437939,-4,03/07/2019 13:20:37,8449,8,task-jgum,,2760239,5b1ee62544127b000140123a,765993,,complete,,5d1ce34a95a9c100168844f5,computer,Desktop or Laptop,Windows 10,Chrome 74.0.3729.131,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,12330.569999292493,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562174441736,03/07/2019 17:20:41,1562174441399,-4,03/07/2019 13:20:41,8449,8,task-jgum,,2760239,5b1ee62544127b000140123a,765993,,complete,,5d1ce34a95a9c100168844f5,computer,Desktop or Laptop,Windows 10,Chrome 74.0.3729.131,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3450.5600007250905,/task/29849/3/asset/Dog.mp3,1
3,1562174446766,03/07/2019 17:20:46,1562174446658,-4,03/07/2019 13:20:46,8449,8,task-jgum,,2760239,5b1ee62544127b000140123a,765993,,complete,,5d1ce34a95a9c100168844f5,computer,Desktop or Laptop,Windows 10,Chrome 74.0.3729.131,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,5254.820000380278,/task/29849/3/asset/Owl.mp3,0
4,1562174448501,03/07/2019 17:20:48,1562174448401,-4,03/07/2019 13:20:48,8449,8,task-jgum,,2760239,5b1ee62544127b000140123a,765993,,complete,,5d1ce34a95a9c100168844f5,computer,Desktop or Laptop,Windows 10,Chrome 74.0.3729.131,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1739.9900006130338,/task/29849/3/asset/Goat.mp3,0
1,1562174500565,03/07/2019 17:21:40,1562174501078,-4,03/07/2019 13:21:41,8449,8,task-jgum,,2760255,5be04ea54a5e53000157ac4f,765995,,complete,,5d1ce3c933e4b60019b14af9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1536x864,1536x730,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,6488.790000003064,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562174505290,03/07/2019 17:21:45,1562174505830,-4,03/07/2019 13:21:45,8449,8,task-jgum,,2760255,5be04ea54a5e53000157ac4f,765995,,complete,,5d1ce3c933e4b60019b14af9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1536x864,1536x730,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4738.419999979669,/task/29849/3/asset/Dog.mp3,1
3,1562174507691,03/07/2019 17:21:47,1562174508241,-4,03/07/2019 13:21:48,8449,8,task-jgum,,2760255,5be04ea54a5e53000157ac4f,765995,,complete,,5d1ce3c933e4b60019b14af9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1536x864,1536x730,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2406.760000012582,/task/29849/3/asset/Owl.mp3,0
4,1562174509801,03/07/2019 17:21:49,1562174510374,-4,03/07/2019 13:21:50,8449,8,task-jgum,,2760255,5be04ea54a5e53000157ac4f,765995,,complete,,5d1ce3c933e4b60019b14af9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1536x864,1536x730,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2130.494999990333,/task/29849/3/asset/Goat.mp3,0
