Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,Question Key,Response
1,1562801577772,10/07/2019 23:32:57,1562801578485,-4,10/07/2019 19:32:58,8835,5,questionnaire-s6wr,,2797945,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562801580289,10/07/2019 23:33:00,1562801581045,-4,10/07/2019 19:33:01,8835,5,questionnaire-s6wr,,2797945,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562801580445,10/07/2019 23:33:00,1562801581046,-4,10/07/2019 19:33:01,8835,5,questionnaire-s6wr,,2797945,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,2561
1,1562802360876,10/07/2019 23:46:00,1562802360773,-4,10/07/2019 19:46:00,8835,5,questionnaire-s6wr,,2797970,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562802365158,10/07/2019 23:46:05,1562802365084,-4,10/07/2019 19:46:05,8835,5,questionnaire-s6wr,,2797970,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562802365313,10/07/2019 23:46:05,1562802365086,-4,10/07/2019 19:46:05,8835,5,questionnaire-s6wr,,2797970,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,4313
1,1562802432112,10/07/2019 23:47:12,1562802431979,3,11/07/2019 02:47:11,8835,5,questionnaire-s6wr,,2797972,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562802444933,10/07/2019 23:47:24,1562802444853,3,11/07/2019 02:47:24,8835,5,questionnaire-s6wr,,2797972,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562802445044,10/07/2019 23:47:25,1562802444854,3,11/07/2019 02:47:24,8835,5,questionnaire-s6wr,,2797972,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,12875
1,1562803009211,10/07/2019 23:56:49,1562803008973,3,11/07/2019 02:56:48,8835,5,questionnaire-s6wr,,2797988,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562803012429,10/07/2019 23:56:52,1562803012251,3,11/07/2019 02:56:52,8835,5,questionnaire-s6wr,,2797988,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562803012569,10/07/2019 23:56:52,1562803012253,3,11/07/2019 02:56:52,8835,5,questionnaire-s6wr,,2797988,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,3280
1,1562803124138,10/07/2019 23:58:44,1562803123627,-5,10/07/2019 18:58:43,8835,5,questionnaire-s6wr,,2797993,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562803127376,10/07/2019 23:58:47,1562803126902,-5,10/07/2019 18:58:46,8835,5,questionnaire-s6wr,,2797993,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562803127564,10/07/2019 23:58:47,1562803126904,-5,10/07/2019 18:58:46,8835,5,questionnaire-s6wr,,2797993,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,3277
1,1562804938766,11/07/2019 00:28:58,1562804938435,-4,10/07/2019 20:28:58,8835,5,questionnaire-s6wr,,2798055,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562804941234,11/07/2019 00:29:01,1562804940942,-4,10/07/2019 20:29:00,8835,5,questionnaire-s6wr,,2798055,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562804941391,11/07/2019 00:29:01,1562804940944,-4,10/07/2019 20:29:00,8835,5,questionnaire-s6wr,,2798055,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,2509
1,1562805034278,11/07/2019 00:30:34,1562805034941,-4,10/07/2019 20:30:34,8835,5,questionnaire-s6wr,,2798056,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562805048054,11/07/2019 00:30:48,1562805048197,-4,10/07/2019 20:30:48,8835,5,questionnaire-s6wr,,2798056,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562805048303,11/07/2019 00:30:48,1562805048205,-4,10/07/2019 20:30:48,8835,5,questionnaire-s6wr,,2798056,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,13264
END OF FILE
