Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,Question Key,Response
4,1562800607433,10/07/2019 23:16:47,1562800607130,3,11/07/2019 02:16:47,8835,5,questionnaire-pwdh,,2797863,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x937,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-3,1
5,1562800607433,10/07/2019 23:16:47,1562800607130,3,11/07/2019 02:16:47,8835,5,questionnaire-pwdh,,2797863,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x937,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-4,1
6,1562800607433,10/07/2019 23:16:47,1562800607131,3,11/07/2019 02:16:47,8835,5,questionnaire-pwdh,,2797863,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x937,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-5,1
7,1562800607433,10/07/2019 23:16:47,1562800607131,3,11/07/2019 02:16:47,8835,5,questionnaire-pwdh,,2797863,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x937,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-6,1
8,1562800607433,10/07/2019 23:16:47,1562800607131,3,11/07/2019 02:16:47,8835,5,questionnaire-pwdh,,2797863,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x937,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-7,1
9,1562800607433,10/07/2019 23:16:47,1562800607131,3,11/07/2019 02:16:47,8835,5,questionnaire-pwdh,,2797863,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x937,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-8,1
10,1562800607433,10/07/2019 23:16:47,1562800607131,3,11/07/2019 02:16:47,8835,5,questionnaire-pwdh,,2797863,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x937,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-9,1
11,1562800607433,10/07/2019 23:16:47,1562800607131,3,11/07/2019 02:16:47,8835,5,questionnaire-pwdh,,2797863,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x937,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-10,1
12,1562800607433,10/07/2019 23:16:47,1562800607131,3,11/07/2019 02:16:47,8835,5,questionnaire-pwdh,,2797863,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x937,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-11,1
13,1562800607433,10/07/2019 23:16:47,1562800607131,3,11/07/2019 02:16:47,8835,5,questionnaire-pwdh,,2797863,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1903x937,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-12,1
