Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5
3,1562799712248,10/07/2019 23:01:52,1562799711047,2,11/07/2019 01:01:51,8835,5,task-fdef,,2797803,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562799689601,10/07/2019 23:01:29,1562799690961,-5,10/07/2019 18:01:30,8835,5,task-fdef,,2797808,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562799702958,10/07/2019 23:01:42,1562799704416,-5,10/07/2019 18:01:44,8835,5,task-fdef,,2797808,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562799708877,10/07/2019 23:01:48,1562799710320,-5,10/07/2019 18:01:50,8835,5,task-fdef,,2797808,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562800003486,10/07/2019 23:06:43,1562800003478,1,11/07/2019 00:06:43,8835,5,task-fdef,,2797839,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562800016964,10/07/2019 23:06:56,1562800017014,1,11/07/2019 00:06:57,8835,5,task-fdef,,2797839,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562800023401,10/07/2019 23:07:03,1562800023435,1,11/07/2019 00:07:03,8835,5,task-fdef,,2797839,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562800056338,10/07/2019 23:07:36,1562800057053,-4,10/07/2019 19:07:37,8835,5,task-fdef,,2797846,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562800069489,10/07/2019 23:07:49,1562800070227,-4,10/07/2019 19:07:50,8835,5,task-fdef,,2797846,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562800079887,10/07/2019 23:07:59,1562800080659,-4,10/07/2019 19:08:00,8835,5,task-fdef,,2797846,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562800723507,10/07/2019 23:18:43,1562800723297,3,11/07/2019 02:18:43,8835,5,task-fdef,,2797882,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562800739290,10/07/2019 23:18:59,1562800739129,3,11/07/2019 02:18:59,8835,5,task-fdef,,2797882,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562800749780,10/07/2019 23:19:09,1562800749626,3,11/07/2019 02:19:09,8835,5,task-fdef,,2797882,5c17678df2012800012adfa2,774569,,complete,,5d26717251d03e00018b29e9,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
