Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,reaction time,key pressed,builtin rt,end_time,start_time,
47,1562799865457,10/07/2019 23:04:25,1562799864299,2,11/07/2019 01:04:24,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,9,40,7.955000000045402,1562799864198,1562799864189,
48,1562799865566,10/07/2019 23:04:25,1562799864405,2,11/07/2019 01:04:24,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3,40,2.379999999902793,1562799864304,1562799864301,
49,1562799865791,10/07/2019 23:04:25,1562799864620,2,11/07/2019 01:04:24,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,112,40,110.96499999985099,1562799864519,1562799864407,
50,1562799865885,10/07/2019 23:04:25,1562799864725,2,11/07/2019 01:04:24,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1,40,0.424999999726424,1562799864623,1562799864622,
51,1562799866026,10/07/2019 23:04:26,1562799864835,2,11/07/2019 01:04:24,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,8,40,7.099999999816646,1562799864734,1562799864726,
52,1562799866213,10/07/2019 23:04:26,1562799865043,2,11/07/2019 01:04:25,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,106,40,105.5099999998638,1562799864942,1562799864836,
53,1562799866323,10/07/2019 23:04:26,1562799865148,2,11/07/2019 01:04:25,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2,40,0.5249999999214197,1562799865047,1562799865045,
54,1562799866730,10/07/2019 23:04:26,1562799865555,2,11/07/2019 01:04:25,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,305,40,304.37500000016007,1562799865454,1562799865149,
55,1562799866824,10/07/2019 23:04:26,1562799865659,2,11/07/2019 01:04:25,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1,40,0.28500000007625204,1562799865558,1562799865557,
56,1562799867027,10/07/2019 23:04:27,1562799865859,2,11/07/2019 01:04:25,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,98,40,97.39499999977124,1562799865758,1562799865660,
57,1562799867323,10/07/2019 23:04:27,1562799866172,2,11/07/2019 01:04:26,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,209,40,207.71000000013737,1562799866070,1562799865861,
58,1562799867464,10/07/2019 23:04:27,1562799866299,2,11/07/2019 01:04:26,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,24,40,22.99499999980617,1562799866198,1562799866174,
