Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,Question Key,Response
2,1554477282967,05/04/2019 15:14:42,1554477282870,1,05/04/2019 16:14:42,6138,39,questionnaire-s6wr,,2417401,5c87c7dcd810a700149dce60,668253,,complete,,5ca768a878958e0016c4f3f5,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1164x555,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,feedback,number the pages of questions so we know how many are left
3,1554477283046,05/04/2019 15:14:43,1554477282872,1,05/04/2019 16:14:42,6138,39,questionnaire-s6wr,,2417401,5c87c7dcd810a700149dce60,668253,,complete,,5ca768a878958e0016c4f3f5,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1164x555,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,16053
1,1554477577697,05/04/2019 15:19:37,1554477577584,1,05/04/2019 16:19:37,6138,39,questionnaire-s6wr,,2417434,5ca606a5614b7b0015be495e,668244,,complete,,5ca768217ea4a700019a709b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1554477580237,05/04/2019 15:19:40,1554477580175,1,05/04/2019 16:19:40,6138,39,questionnaire-s6wr,,2417434,5ca606a5614b7b0015be495e,668244,,complete,,5ca768217ea4a700019a709b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,feedback,
3,1554477580299,05/04/2019 15:19:40,1554477580176,1,05/04/2019 16:19:40,6138,39,questionnaire-s6wr,,2417434,5ca606a5614b7b0015be495e,668244,,complete,,5ca768217ea4a700019a709b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,2592
1,1554477608694,05/04/2019 15:20:08,1554477607764,-7,05/04/2019 08:20:07,6138,39,questionnaire-s6wr,,2417437,5c91c1524537020016fb17e9,668267,,complete,,5ca76a22f7c8550017428f91,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x657,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1554477622213,05/04/2019 15:20:22,1554477621351,-7,05/04/2019 08:20:21,6138,39,questionnaire-s6wr,,2417437,5c91c1524537020016fb17e9,668267,,complete,,5ca76a22f7c8550017428f91,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x657,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,feedback,Everything was perfect.
3,1554477622432,05/04/2019 15:20:22,1554477621354,-7,05/04/2019 08:20:21,6138,39,questionnaire-s6wr,,2417437,5c91c1524537020016fb17e9,668267,,complete,,5ca76a22f7c8550017428f91,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x657,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,13590
1,1554477775698,05/04/2019 15:22:55,1554477776836,1,05/04/2019 16:22:56,6138,39,questionnaire-s6wr,,2417457,5bfa8c4b18430e0001865d19,668270,,complete,,5ca76af7ce2d040001a45e2b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1554477780928,05/04/2019 15:23:00,1554477782105,1,05/04/2019 16:23:02,6138,39,questionnaire-s6wr,,2417457,5bfa8c4b18430e0001865d19,668270,,complete,,5ca76af7ce2d040001a45e2b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,feedback,
3,1554477780990,05/04/2019 15:23:00,1554477782107,1,05/04/2019 16:23:02,6138,39,questionnaire-s6wr,,2417457,5bfa8c4b18430e0001865d19,668270,,complete,,5ca76af7ce2d040001a45e2b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,5271
1,1554477913123,05/04/2019 15:25:13,1554477913134,-5,05/04/2019 10:25:13,6138,39,questionnaire-s6wr,,2417470,5c1cee9099de680001e2763c,668274,,complete,,5ca76b7fd9f511001691683c,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1280x648,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1554477918146,05/04/2019 15:25:18,1554477918216,-5,05/04/2019 10:25:18,6138,39,questionnaire-s6wr,,2417470,5c1cee9099de680001e2763c,668274,,complete,,5ca76b7fd9f511001691683c,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1280x648,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,feedback,
3,1554477918271,05/04/2019 15:25:18,1554477918220,-5,05/04/2019 10:25:18,6138,39,questionnaire-s6wr,,2417470,5c1cee9099de680001e2763c,668274,,complete,,5ca76b7fd9f511001691683c,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1280x648,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,5087
1,1554480698113,05/04/2019 16:11:38,1554480696427,1,05/04/2019 17:11:36,6138,39,questionnaire-s6wr,,2417668,5a03241a6e1ea9000124dead,668370,,complete,,5ca77780221aa200167887d3,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1280x800,1280x641,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1554480701898,05/04/2019 16:11:41,1554480700288,1,05/04/2019 17:11:40,6138,39,questionnaire-s6wr,,2417668,5a03241a6e1ea9000124dead,668370,,complete,,5ca77780221aa200167887d3,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1280x800,1280x641,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,feedback,
3,1554480702085,05/04/2019 16:11:42,1554480700292,1,05/04/2019 17:11:40,6138,39,questionnaire-s6wr,,2417668,5a03241a6e1ea9000124dead,668370,,complete,,5ca77780221aa200167887d3,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1280x800,1280x641,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,3865
1,1554823318646,09/04/2019 15:21:58,1554823313962,1,09/04/2019 16:21:53,6138,39,questionnaire-s6wr,,2427335,5c46c60f5aca820001f7d05d,672044,,complete,,5cacb247c546ab0001053d87,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x657,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1554823321037,09/04/2019 15:22:01,1554823316364,1,09/04/2019 16:21:56,6138,39,questionnaire-s6wr,,2427335,5c46c60f5aca820001f7d05d,672044,,complete,,5cacb247c546ab0001053d87,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x657,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,feedback,
3,1554823321100,09/04/2019 15:22:01,1554823316366,1,09/04/2019 16:21:56,6138,39,questionnaire-s6wr,,2427335,5c46c60f5aca820001f7d05d,672044,,complete,,5cacb247c546ab0001053d87,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x657,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,2404
1,1554823366548,09/04/2019 15:22:46,1554823364941,1,09/04/2019 16:22:44,6138,39,questionnaire-s6wr,,2427339,5c86516f0d4ac0001296d3c6,672046,,complete,,5cacb24955a6f60001891c00,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1120x630,1120x551,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1554823396799,09/04/2019 15:23:16,1554823394999,1,09/04/2019 16:23:14,6138,39,questionnaire-s6wr,,2427339,5c86516f0d4ac0001296d3c6,672046,,complete,,5cacb24955a6f60001891c00,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1120x630,1120x551,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,feedback,An indication of how far the participant is with the list of questions.
3,1554823396940,09/04/2019 15:23:16,1554823395002,1,09/04/2019 16:23:15,6138,39,questionnaire-s6wr,,2427339,5c86516f0d4ac0001296d3c6,672046,,complete,,5cacb24955a6f60001891c00,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1120x630,1120x551,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,30061
1,1554823527759,09/04/2019 15:25:27,1554823530416,1,09/04/2019 16:25:30,6138,39,questionnaire-s6wr,,2427355,5bd2034025db7b000178ad8a,672045,,complete,,5cacb2489180e500010a47e3,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1366x768,1366x654,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1554823558120,09/04/2019 15:25:58,1554823560778,1,09/04/2019 16:26:00,6138,39,questionnaire-s6wr,,2427355,5bd2034025db7b000178ad8a,672045,,complete,,5cacb2489180e500010a47e3,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1366x768,1366x654,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,feedback,I don't think so - that was a really enjoyable game and survey. Thank you. 
