Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,stimulus,button pressed
4,1554475190020,05/04/2019 14:39:50,1554475189439,1,05/04/2019 15:39:49,6138,39,task-jgum,,2417142,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4163.425000000185,/task/29849/3/asset/Goat.mp3,0
1,1554475175831,05/04/2019 14:39:35,1554475174636,1,05/04/2019 15:39:34,6138,39,task-jgum,,2417143,5978142b21bc3d0001a1d2b6,668245,,complete,,5ca76813253fd60001d258f7,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1366x768,1366x641,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,7344.844999999992,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554475178670,05/04/2019 14:39:38,1554475177550,1,05/04/2019 15:39:37,6138,39,task-jgum,,2417143,5978142b21bc3d0001a1d2b6,668245,,complete,,5ca76813253fd60001d258f7,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1366x768,1366x641,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2907.3950000000077,/task/29849/3/asset/Dog.mp3,1
3,1554475180448,05/04/2019 14:39:40,1554475179327,1,05/04/2019 15:39:39,6138,39,task-jgum,,2417143,5978142b21bc3d0001a1d2b6,668245,,complete,,5ca76813253fd60001d258f7,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1366x768,1366x641,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1771.9400000000005,/task/29849/3/asset/Owl.mp3,0
4,1554475182650,05/04/2019 14:39:42,1554475181276,1,05/04/2019 15:39:41,6138,39,task-jgum,,2417143,5978142b21bc3d0001a1d2b6,668245,,complete,,5ca76813253fd60001d258f7,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1366x768,1366x641,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1942.9599999999991,/task/29849/3/asset/Goat.mp3,0
1,1554475258522,05/04/2019 14:40:58,1554475258388,1,05/04/2019 15:40:58,6138,39,task-jgum,,2417164,590b3b8fc0b47a00019944a9,668251,,complete,,5ca7687d4e1823001a06157f,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 73.0.3683.86,1680x1050,1646x890,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,6293.074999997771,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554475261477,05/04/2019 14:41:01,1554475261400,1,05/04/2019 15:41:01,6138,39,task-jgum,,2417164,590b3b8fc0b47a00019944a9,668251,,complete,,5ca7687d4e1823001a06157f,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 73.0.3683.86,1680x1050,1646x890,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,3004.1549999987183,/task/29849/3/asset/Dog.mp3,1
3,1554475263867,05/04/2019 14:41:03,1554475263797,1,05/04/2019 15:41:03,6138,39,task-jgum,,2417164,590b3b8fc0b47a00019944a9,668251,,complete,,5ca7687d4e1823001a06157f,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 73.0.3683.86,1680x1050,1646x890,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2392.8050000031362,/task/29849/3/asset/Owl.mp3,0
4,1554475265945,05/04/2019 14:41:05,1554475265885,1,05/04/2019 15:41:05,6138,39,task-jgum,,2417164,590b3b8fc0b47a00019944a9,668251,,complete,,5ca7687d4e1823001a06157f,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 73.0.3683.86,1680x1050,1646x890,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2083.7399999982154,/task/29849/3/asset/Goat.mp3,0
1,1554475272748,05/04/2019 14:41:12,1554475273480,-5,05/04/2019 09:41:13,6138,39,task-jgum,,2417167,5be607e617a93400011b2b6a,668254,,complete,,5ca768b39d7912000165f886,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,12234.465000219643,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554475275717,05/04/2019 14:41:15,1554475276492,-5,05/04/2019 09:41:16,6138,39,task-jgum,,2417167,5be607e617a93400011b2b6a,668254,,complete,,5ca768b39d7912000165f886,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3007.74999987334,/task/29849/3/asset/Dog.mp3,1
3,1554475282958,05/04/2019 14:41:22,1554475283035,-5,05/04/2019 09:41:23,6138,39,task-jgum,,2417167,5be607e617a93400011b2b6a,668254,,complete,,5ca768b39d7912000165f886,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,6539.690000005066,/task/29849/3/asset/Owl.mp3,0
4,1554475283609,05/04/2019 14:41:23,1554475284411,-5,05/04/2019 09:41:24,6138,39,task-jgum,,2417167,5be607e617a93400011b2b6a,668254,,complete,,5ca768b39d7912000165f886,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1373.0899998918176,/task/29849/3/asset/Goat.mp3,0
1,1554475341798,05/04/2019 14:42:21,1554475341649,1,05/04/2019 15:42:21,6138,39,task-jgum,,2417184,5c87c7dcd810a700149dce60,668253,,complete,,5ca768a878958e0016c4f3f5,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1280x610,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3852.1750000072643,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554475346269,05/04/2019 14:42:26,1554475346089,1,05/04/2019 15:42:26,6138,39,task-jgum,,2417184,5c87c7dcd810a700149dce60,668253,,complete,,5ca768a878958e0016c4f3f5,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1280x610,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4433.21499999729,/task/29849/3/asset/Dog.mp3,1
3,1554475348941,05/04/2019 14:42:28,1554475348832,1,05/04/2019 15:42:28,6138,39,task-jgum,,2417184,5c87c7dcd810a700149dce60,668253,,complete,,5ca768a878958e0016c4f3f5,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1280x610,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2740.1600000011967,/task/29849/3/asset/Owl.mp3,0
4,1554475351707,05/04/2019 14:42:31,1554475351583,1,05/04/2019 15:42:31,6138,39,task-jgum,,2417184,5c87c7dcd810a700149dce60,668253,,complete,,5ca768a878958e0016c4f3f5,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1280x610,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2748.3999999967637,/task/29849/3/asset/Goat.mp3,0
1,1554475638525,05/04/2019 14:47:18,1554475638468,1,05/04/2019 15:47:18,6138,39,task-jgum,,2417232,5c86d8c5332a8d0001e9577a,668262,,complete,,5ca769f52c8cb00001d1bc14,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 73.0.3683.86,1680x1050,1616x824,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,8102.7300000000105,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554475642860,05/04/2019 14:47:22,1554475642835,1,05/04/2019 15:47:22,6138,39,task-jgum,,2417232,5c86d8c5332a8d0001e9577a,668262,,complete,,5ca769f52c8cb00001d1bc14,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 73.0.3683.86,1680x1050,1616x824,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4359.735000000001,/task/29849/3/asset/Dog.mp3,3
3,1554475647782,05/04/2019 14:47:27,1554475647714,1,05/04/2019 15:47:27,6138,39,task-jgum,,2417232,5c86d8c5332a8d0001e9577a,668262,,complete,,5ca769f52c8cb00001d1bc14,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 73.0.3683.86,1680x1050,1616x824,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4873.9500000000335,/task/29849/3/asset/Owl.mp3,3
4,1554475650862,05/04/2019 14:47:30,1554475650834,1,05/04/2019 15:47:30,6138,39,task-jgum,,2417232,5c86d8c5332a8d0001e9577a,668262,,complete,,5ca769f52c8cb00001d1bc14,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 73.0.3683.86,1680x1050,1616x824,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3116.069999999985,/task/29849/3/asset/Goat.mp3,3
1,1554475715817,05/04/2019 14:48:35,1554475715482,1,05/04/2019 15:48:35,6138,39,task-jgum,,2417236,5bf555e5d944c300012622c7,668263,,complete,,5ca769f9c397ff001523ce18,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1440x900,1152x592,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,81008.8200000173,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554475718618,05/04/2019 14:48:38,1554475718258,1,05/04/2019 15:48:38,6138,39,task-jgum,,2417236,5bf555e5d944c300012622c7,668263,,complete,,5ca769f9c397ff001523ce18,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1440x900,1152x592,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2768.7800000130665,/task/29849/3/asset/Dog.mp3,1
3,1554475720183,05/04/2019 14:48:40,1554475719929,1,05/04/2019 15:48:39,6138,39,task-jgum,,2417236,5bf555e5d944c300012622c7,668263,,complete,,5ca769f9c397ff001523ce18,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1440x900,1152x592,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1664.9899999902118,/task/29849/3/asset/Owl.mp3,0
4,1554475721748,05/04/2019 14:48:41,1554475721481,1,05/04/2019 15:48:41,6138,39,task-jgum,,2417236,5bf555e5d944c300012622c7,668263,,complete,,5ca769f9c397ff001523ce18,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1440x900,1152x592,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1547.5049999949988,/task/29849/3/asset/Goat.mp3,0
